Close/Last,Volume,Open,High,Low,daily_returns
299.87,41372460,304.17,304.5,299.53,-0.01752834021361649
294.3,38278660,296.33,298.72,289.52,-0.01857471571014102
294.8,22364100,295.69,297.54,294.07,0.0016989466530750175
298.58,26626340,296.725,300.22,294.51,0.012822252374491194
299.56,18604600,298.845,300.9,297.5339,0.0032822024248109205
299.35,14998980,298.23,299.8,296.93,-0.0007010281746561153
294.17,23571740,296.14,296.47,292.9449,-0.017304159011190978
283.52,43186240,289.795,290.78,282.75,-0.03620355576707357
284.0,26353700,285.1,286.77,283.01,0.0016930022573364845
281.92,32343640,285.71,287.83,281.62,-0.007323943661971755
289.1,30086280,282.122,289.98,281.29,0.02546821793416565
283.11,31350750,287.4,287.75,280.25,-0.020719474230370127
288.76,24993020,284.0464,290.398,284.0464,0.019956907209211838
293.11,28002560,285.78,293.63,285.5093,0.015064413353650163
294.85,20430470,295.175,296.64,293.92,0.005936337893623689
294.85,17685700,296.219,296.6409,293.76,0.0
294.23,19298630,292.92,297.97,292.745,-0.0021027641173477774
292.88,17974140,295.34,295.44,292.35,-0.004588247289535441
296.31,23424030,294.91,297.28,293.49,0.011711281070745816
302.75,27262900,299.21,303.27,297.83,0.02173399480274041
304.21,25384800,302.34,304.45,300.5191,0.004822460776217952
307.29,22729300,303.57,308.21,302.69,0.010124584990631513
308.23,17682140,308.348,309.3,307.22,0.0030589996420320453
307.41,16537070,309.21,309.7,306.11,-0.0026603510365635907
310.76,16918100,307.17,311.02,306.36,0.010897498454832233
309.16,17449330,310.4,311.09,307.8,-0.005148667782211236
308.13,17554470,309.36,309.4,306.46,-0.0033316082287490056
310.11,28107350,311.0,312.395,308.5967,0.006425859215266394
323.17,52588690,316.0,326.0973,316.0,0.04211408854922438
324.35,26297940,324.325,324.87,321.3601,0.0036513290218771477
331.62,34765980,324.13,332.0,323.9,0.022414058887004762
329.37,27073180,331.355,331.49,326.37,-0.0067848742536638085
333.13,26487110,330.31,333.45,330.0,0.01141573306615662
334.0,21500080,333.9,334.9,330.65,0.0026115930717738323
336.44,23992200,332.89,336.54,329.51,0.007305389221556879
336.06,22570100,338.51,338.79,334.4217,-0.001129473308762341
336.99,20897000,337.3,337.65,334.44,0.0027673629708979686
335.95,21307370,337.107,338.72,334.53,-0.003086144989465578
330.8,25500940,334.57,334.6303,329.92,-0.01532966215210585
332.43,16849840,331.25,333.7746,330.51,0.004927448609431728
336.72,23831050,333.92,337.23,333.79,0.01290497247540845
336.07,16723010,337.54,337.88,334.034,-0.0019303872653837484
339.51,20886830,335.68,340.67,335.51,0.010235962745856586
339.12,19053380,338.94,342.19,338.0,-0.001148714323583988
341.27,22463530,338.18,342.45,337.12,0.006339938664779332
343.11,21963400,342.64,345.1,342.2,0.005391625399244093
339.83,31031110,344.62,349.67,339.55,-0.00955961644953518
337.68,30427560,337.05,339.45,333.56,-0.006326692758143682
337.91,21661310,336.28,338.16,333.911,0.0006811182184316422
329.68,24217240,334.35,337.93,328.12,-0.024355597644343252
336.63,28563480,334.94,339.03,334.74,0.02108104828925006
